CO_AQI;NO2_AQI;SO2_AQI;O3_AQI;PM2.5_AQI;PM10_AQI;AQI_TOTAL;Clasificacion
33.18;28.44;1.57;21.3;46.25;14.63;46.25;0
33.07;27.31;1.64;22.22;51.67;16.39;51.67;4
32.84;25.71;1.79;23.15;54.17;17.13;54.17;4
31.25;22.36;1.86;25.93;38.33;12.13;38.33;0
27.95;18.25;1.79;29.63;28.33;8.98;29.63;0
23.64;13.16;1.64;33.33;23.33;7.41;33.33;0
18.86;7.74;1.5;37.96;21.25;6.67;37.96;0
17.27;5.94;1.43;37.96;20.42;6.39;37.96;0
16.59;5.24;1.36;37.04;20.42;6.48;37.04;0
15.8;4.62;1.29;37.04;20.42;6.48;37.04;0
14.77;3.92;1.29;40.74;17.08;5.37;40.74;0
13.86;3.35;1.36;45.37;13.75;4.44;45.37;0
11.93;2.88;1.21;50.0;0.83;0.37;50.0;0
11.36;2.31;1.14;52.78;4.17;1.39;52.78;4
10.57;1.56;1.07;57.41;5.42;1.76;57.41;4
9.77;0.9;1.0;61.11;5.83;2.04;61.11;4
9.66;0.9;0.93;61.11;6.25;2.04;61.11;4
9.66;1.13;0.79;60.19;6.67;2.22;60.19;4
10.11;1.98;0.79;58.33;8.33;2.87;58.33;4
10.45;2.69;0.93;57.41;7.92;2.59;57.41;4
10.8;3.58;1.14;57.41;8.33;2.78;57.41;4
13.18;6.84;1.36;53.7;10.83;3.52;53.7;4
17.73;12.59;1.5;46.3;22.08;7.22;46.3;0
23.86;20.09;1.57;37.04;32.5;10.37;37.04;0
26.7;22.69;1.5;34.26;29.17;9.35;34.26;0
26.25;21.56;1.43;33.33;28.33;8.98;33.33;0
25.57;20.0;1.36;32.41;27.5;8.8;32.41;0
24.77;17.92;1.36;31.48;29.58;9.35;31.48;0
24.55;16.75;1.64;29.63;29.58;9.44;29.63;0
24.43;15.71;2.14;28.7;32.92;10.46;32.92;0
24.09;14.25;2.57;26.85;37.08;11.76;37.08;0
23.86;13.21;2.64;25.93;37.92;12.04;37.92;0
23.52;12.17;2.57;25.0;37.08;11.76;37.08;0
22.05;10.28;2.36;27.78;37.5;11.94;37.5;0
19.43;8.07;2.14;34.26;36.25;11.57;36.25;0
16.02;5.47;1.86;43.52;20.83;6.67;43.52;0
11.14;2.41;1.29;53.7;15.83;5.09;53.7;4
10.8;1.98;1.21;55.56;12.5;4.17;55.56;4
10.34;1.42;1.0;59.26;12.08;3.98;59.26;4
9.89;0.85;0.86;62.04;12.08;4.07;62.04;4
9.77;0.71;0.79;62.04;12.08;3.98;62.04;4
9.89;0.66;0.71;62.04;11.67;3.89;62.04;4
10.11;1.04;0.71;60.19;10.83;3.61;60.19;4
10.23;1.51;0.71;59.26;10.83;3.61;59.26;4
10.45;2.17;0.79;57.41;10.83;3.61;57.41;4
11.82;4.1;0.93;52.78;12.08;3.98;52.78;4
13.98;6.65;1.0;47.22;16.25;5.28;47.22;0
16.82;9.91;1.14;40.74;20.83;6.85;40.74;0
29.66;23.96;1.86;24.07;37.92;12.13;37.92;0
28.41;22.69;1.86;25.0;35.83;11.48;35.83;0
26.59;20.9;1.79;25.93;35.83;11.57;35.83;0
25.23;19.06;1.86;26.85;38.33;12.22;38.33;0
25.8;18.68;2.07;25.0;42.5;13.52;42.5;0
27.16;18.77;2.43;23.15;48.33;15.37;48.33;0
29.66;19.25;2.79;19.44;55.42;17.59;55.42;4
32.84;20.38;2.93;15.74;64.58;20.46;64.58;4
36.59;21.84;3.0;11.11;72.92;23.24;72.92;4
37.84;21.37;2.93;11.11;82.08;26.02;82.08;4
32.73;17.08;2.71;22.22;86.67;27.5;86.67;4
24.55;10.66;2.43;37.96;40.0;12.87;40.0;0
16.7;4.62;2.43;56.48;32.92;10.65;56.48;4
15.45;3.73;1.93;56.48;27.5;8.98;56.48;4
13.52;2.41;1.21;55.56;25.0;8.15;55.56;4
11.82;1.08;0.5;55.56;25.42;8.24;55.56;4
11.7;0.75;0.43;56.48;29.17;9.35;56.48;4
12.16;0.71;0.64;56.48;28.33;9.17;56.48;4
13.07;1.27;0.93;56.48;27.5;8.8;56.48;4
12.95;1.65;1.0;54.63;26.25;8.52;54.63;4
12.84;2.22;1.07;52.78;26.67;8.52;52.78;4
15.23;5.47;1.29;46.3;27.92;8.98;46.3;0
20.91;11.6;1.64;37.04;37.5;11.94;37.5;0
28.86;19.76;2.0;25.93;48.33;15.37;48.33;0
36.02;25.99;1.64;15.74;49.58;15.83;49.58;0
34.32;24.72;1.57;15.74;52.08;16.48;52.08;4
31.93;22.92;1.5;16.67;50.42;16.02;50.42;1
28.3;19.43;1.36;18.52;47.92;15.19;47.92;0
25.11;15.42;1.29;22.22;46.25;14.63;46.25;0
21.59;10.61;1.29;26.85;45.42;14.44;45.42;0
17.84;5.42;1.21;32.41;37.92;11.94;37.92;0
16.36;3.58;1.07;34.26;35.42;11.2;35.42;0
15.57;2.78;0.86;35.19;30.42;9.54;35.19;0
15.11;2.31;0.71;37.04;26.67;8.43;37.04;0
15.23;2.31;0.71;38.89;19.17;6.11;38.89;0
15.68;2.69;0.79;40.74;17.5;5.56;40.74;0
15.8;2.69;0.86;41.67;28.75;9.17;41.67;0
15.34;2.26;0.79;42.59;27.08;8.61;42.59;0
14.77;1.7;0.64;44.44;24.17;7.69;44.44;0
14.2;1.23;0.5;45.37;23.33;7.41;45.37;0
14.2;1.32;0.5;45.37;23.75;7.59;45.37;0
14.55;1.6;0.57;44.44;24.17;7.69;44.44;0
15.0;2.31;0.71;43.52;22.5;7.13;43.52;0
15.23;2.97;0.79;41.67;19.17;6.11;41.67;0
15.45;3.82;0.86;39.81;17.92;5.74;39.81;0
16.36;5.28;0.93;37.04;17.92;5.65;37.04;0
17.95;7.03;1.0;34.26;19.58;6.2;34.26;0
19.89;9.1;1.07;30.56;22.5;7.13;30.56;0
23.3;12.64;0.93;24.07;25.42;8.06;25.42;0
22.5;11.51;0.93;25.0;23.75;7.5;25.0;0
21.36;9.91;1.0;25.93;23.75;7.5;25.93;0
20.11;7.92;1.0;26.85;25.42;8.06;26.85;0
19.66;6.84;1.0;26.85;23.33;7.41;26.85;0
19.43;5.9;0.93;26.85;24.17;7.69;26.85;0
19.09;4.86;0.86;26.85;27.08;8.61;27.08;0
18.75;4.29;0.86;26.85;26.67;8.43;26.85;0
18.41;3.92;0.86;26.85;28.33;8.98;28.33;0
18.07;3.63;0.86;27.78;28.75;9.07;28.75;0
17.84;3.77;0.86;28.7;27.5;8.7;28.7;0
17.73;4.15;0.86;28.7;19.58;6.2;28.7;0
17.61;3.58;0.93;34.26;22.92;7.31;34.26;0
17.05;2.97;0.93;36.11;22.08;6.94;36.11;0
16.25;2.12;0.86;38.89;20.83;6.67;38.89;0
15.45;1.23;0.79;40.74;20.83;6.67;40.74;0
15.23;0.99;0.79;40.74;20.83;6.57;40.74;0
15.23;0.99;0.71;40.74;20.42;6.48;40.74;0
15.34;1.32;0.71;38.89;19.17;6.02;38.89;0
15.23;1.51;0.71;37.96;17.92;5.74;37.96;0
15.11;1.84;0.71;37.04;17.5;5.65;37.04;0
16.7;3.96;0.86;33.33;20.0;6.39;33.33;0
20.8;8.25;1.07;26.85;25.42;8.15;26.85;0
26.48;14.01;1.43;19.44;32.5;10.37;32.5;0
23.07;11.75;1.21;19.44;28.33;8.98;28.33;0
21.59;9.95;1.14;22.22;27.08;8.7;27.08;0
19.55;7.45;1.0;25.93;27.5;8.7;27.5;0
17.16;4.43;0.79;29.63;25.0;7.96;29.63;0
16.14;2.97;0.71;31.48;23.33;7.31;31.48;0
15.57;1.84;0.57;33.33;20.83;6.57;33.33;0
15.11;0.94;0.5;34.26;18.33;5.83;34.26;0
15.11;0.75;0.5;34.26;18.33;5.74;34.26;0
15.34;0.94;0.5;33.33;18.33;5.74;33.33;0
15.8;1.56;0.5;32.41;17.08;5.37;32.41;0
16.36;2.41;0.57;31.48;12.92;4.07;31.48;0
17.16;3.58;0.57;29.63;10.0;3.15;29.63;0
17.73;4.1;0.79;30.56;15.83;4.91;30.56;0
17.73;3.82;0.86;32.41;16.25;5.19;32.41;0
17.84;3.44;0.93;34.26;17.5;5.56;34.26;0
17.73;2.92;0.93;37.04;19.17;6.02;37.04;0
17.39;2.55;0.86;37.04;19.17;6.02;37.04;0
16.82;2.12;0.71;37.04;19.17;6.02;37.04;0
16.48;2.17;0.64;36.11;14.58;4.63;36.11;0
16.59;2.92;0.64;34.26;13.75;4.35;34.26;0
16.82;4.06;0.71;32.41;11.67;3.7;32.41;0
17.73;5.85;0.79;29.63;11.25;3.61;29.63;0
18.98;7.41;0.79;27.78;13.75;4.44;27.78;0
20.68;9.1;0.86;25.0;14.17;4.54;25.0;0
24.09;11.84;0.86;19.44;20.42;6.48;24.09;0
23.75;11.37;0.93;20.37;20.0;6.39;23.75;0
23.3;10.71;1.07;20.37;21.25;6.67;23.3;0
22.73;9.62;1.21;21.3;22.92;7.22;22.92;0
